Target,Semi-Major_Axis_[km],Inclination_[deg],Expected_Life_[years],Launch_Mass_[kg]
Navigation,0.609901545,0.572434608,0.58974359,0.100932994
Navigation,0.603004349,0.573541247,0.58974359,0.100932994
Navigation,0.602897623,0.572434608,0.58974359,0.100932994
Navigation,0.605952667,0.57444668,0.58974359,0.100932994
Navigation,0.565970277,0.55331992,0.384615385,0.112948827
Navigation,0.565970277,0.55331992,0.384615385,0.112948827
Navigation,0.565970277,0.55331992,0.384615385,0.112948827
Navigation,0.565970277,0.55331992,0.384615385,0.112948827
Navigation,0.565956936,0.55331992,0.384615385,0.112948827
Navigation,0.575015342,0.55331992,0.384615385,0.112948827
Navigation,0.502201233,0.651911469,0.333333333,0.19988691
Navigation,0.946343286,0.55331992,0.384615385,0.112948827
Navigation,0.611702553,0.56639839,0.58974359,0.100932994
Navigation,0.608434056,0.56639839,0.58974359,0.100932994
Navigation,0.604631927,0.56639839,0.58974359,0.100932994
Navigation,0.60616612,0.56639839,0.58974359,0.100932994
Navigation,0.565956936,0.55331992,0.384615385,0.112948827
Navigation,0.565956936,0.55331992,0.384615385,0.112948827
Navigation,0.565956936,0.55331992,0.384615385,0.112948827
Navigation,0.565970277,0.55331992,0.384615385,0.112948827
Navigation,0.574921956,0.55331992,0.384615385,0.112948827
Navigation,0.565956936,0.55331992,0.384615385,0.112948827
Navigation,0.575055364,0.55331992,0.384615385,0.112948827
Navigation,0.575002001,0.55331992,0.384615385,0.112948827
Navigation,0.946396649,0.030181087,0.384615385,0.112948827
Navigation,0.502347982,0.651911469,0.333333333,0.19988691
Navigation,0.574801889,0.55331992,0.384615385,0.112948827
Navigation,0.574908615,0.55331992,0.384615385,0.112948827
Navigation,0.530016809,0.552313883,0.743589744,0.324992932
Navigation,0.946223218,0.55331992,0.384615385,0.112948827
Navigation,0.94640999,0.018209256,0.384615385,0.112948827
Navigation,0.50198778,0.651911469,0.333333333,0.19988691
Navigation,0.946476694,0.553822938,0.384615385,0.112948827
Navigation,0.530430374,0.554325956,0.743589744,0.324992932
Navigation,0.566170389,0.55331992,0.384615385,0.112948827
Navigation,0.566157048,0.55331992,0.384615385,0.112948827
Navigation,0.946476694,0.585513078,0.384615385,0.593582132
Navigation,0.575055364,0.552313883,0.384615385,0.112948827
Navigation,0.574961979,0.552313883,0.384615385,0.112948827
Navigation,0.500560314,0.651911469,0.333333333,0.19988691
Navigation,0.564302676,0.553521127,0.384615385,0.112948827
Navigation,0.573747966,0.553521127,0.384615385,0.112948827
Navigation,0.502347982,0.651911469,0.333333333,0.19988691
Navigation,0.94642333,0.030985915,0.384615385,0.310856658
Navigation,0.94642333,0.031086519,0.384615385,0.112948827
Navigation,0.530070173,0.553923541,0.743589744,0.324992932
Navigation,0.501854372,0.651911469,0.333333333,0.19988691
Navigation,0.530070173,0.55331992,0.743589744,0.324992932
Navigation,0.530096854,0.55331992,0.743589744,0.324992932
Navigation,0.617238987,0.57444668,0.58974359,0.103477523
Navigation,0.619747058,0.573440644,0.58974359,0.103477523
Navigation,0.50198778,0.651911469,0.487179487,0.137545943
Navigation,0.50198778,0.651911469,0.333333333,0.19988691
Navigation,0.946356626,0.402414487,0.743589744,0.565309584
Navigation,0.946570079,0.272635815,0.58974359,0.201300537
Navigation,0.946450012,0.311569416,0.58974359,0.202290076
Navigation,0.946263241,0.049899396,0.58974359,0.201300537
Navigation,0.945889698,0.30221328,0.58974359,0.201300537
Navigation,0.946369967,0.282595573,0.58974359,0.201300537
Navigation,0.946436671,0.051207243,0.58974359,0.201300537
Navigation,0.946396649,0.050905433,0.58974359,0.201300537
Navigation,0.946596761,0,0.743589744,0.565309584
Navigation,0.946316604,0.407444668,0.743589744,0.565309584
Navigation,0.946436671,0.286720322,0.487179487,0.201300537
Navigation,0.946930281,0.342052314,0.743589744,0.579445858
